Theta,n,segSites,prob
two,6,11,0.017060542
two,7,11,0.019911057
two,8,11,0.022612182
two,9,11,0.025176113
two,10,11,0.027613626
two,11,11,0.029934293
two,12,11,0.032146655
two,13,11,0.034258373
two,14,11,0.03627634
two,15,11,0.038206785
two,16,11,0.040055356
two,17,11,0.041827188
two,18,11,0.043526968
two,19,11,0.045158981
two,20,11,0.046727158
two,21,11,0.048235113
two,22,11,0.049686174
two,23,11,0.051083418
two,24,11,0.052429688
two,25,11,0.053727622
two,26,11,0.054979669
two,27,11,0.056188107
two,28,11,0.05735506
two,29,11,0.058482508
two,30,11,0.059572303
two,31,11,0.060626178
two,32,11,0.061645758
two,33,11,0.062632567
ten,1,11,0
ten,2,11,0.031863082
ten,3,11,0.041294833
ten,4,11,0.041171847
ten,5,11,0.037315289
ten,6,11,0.032344564
ten,7,11,0.027399364
ten,8,11,0.022931551
ten,9,11,0.019076794
ten,10,11,0.01583097
ten,11,11,0.013133909
ten,12,11,0.010908532
ten,13,11,0.009078368
ten,14,11,0.007574645
ten,15,11,0.006338431
ten,16,11,0.005320555
ten,17,11,0.004480603
ten,18,11,0.003785651
ten,19,11,0.003208998
ten,20,11,0.002729039
ten,21,11,0.002328301
ten,22,11,0.001992638
ten,23,11,0.001710586
ten,24,11,0.001472831
ten,25,11,0.001271791
ten,26,11,0.001101275
ten,27,11,0.000956214
ten,28,11,0.000832448
ten,29,11,0.00072655
ten,30,11,0.000635688
