Pop,Theta,samplingSize,n.seg.sites
2,ten,8,25
2,ten,8,30
2,ten,8,19
2,ten,8,23
2,ten,8,29
2,ten,8,24
2,ten,8,25
2,ten,8,19
2,ten,8,32
2,ten,8,23
2,ten,8,26
2,ten,8,30
2,ten,8,29
2,ten,8,26
2,ten,8,26
2,ten,8,25
2,ten,8,22
2,ten,8,27
2,ten,8,24
2,ten,8,28
2,ten,8,21
2,ten,8,29
2,ten,8,20
2,ten,8,25
2,ten,8,27
2,ten,8,26
2,ten,8,17
2,ten,8,29
2,ten,8,18
2,ten,8,25
2,ten,8,24
2,ten,8,27
2,ten,8,28
2,ten,8,26
2,ten,8,22
2,ten,8,29
2,ten,8,23
2,ten,8,28
2,ten,8,25
2,ten,8,28
2,ten,8,26
2,ten,8,31
2,ten,8,26
2,ten,8,24
2,ten,8,22
2,ten,8,21
2,ten,8,24
2,ten,8,19
2,ten,8,25
2,ten,8,26
2,ten,8,20
2,ten,8,25
2,ten,8,29
2,ten,8,24
2,ten,8,20
2,ten,8,26
2,ten,8,32
2,ten,8,29
2,ten,8,25
2,ten,8,29
2,ten,8,27
2,ten,8,29
2,ten,8,23
2,ten,8,26
2,ten,8,28
2,ten,8,28
2,ten,8,22
2,ten,8,20
2,ten,8,20
2,ten,8,30
2,ten,8,27
2,ten,8,24
2,ten,8,23
2,ten,8,26
2,ten,8,29
2,ten,8,26
2,ten,8,24
2,ten,8,19
2,ten,8,27
2,ten,8,27
2,ten,8,21
2,ten,8,26
2,ten,8,27
2,ten,8,24
2,ten,8,25
2,ten,8,28
2,ten,8,28
2,ten,8,21
2,ten,8,21
2,ten,8,24
2,ten,8,25
2,ten,8,26
2,ten,8,24
2,ten,8,25
2,ten,8,28
2,ten,8,25
2,ten,8,30
2,ten,16,31
2,ten,16,27
2,ten,16,26
2,ten,16,34
2,ten,16,31
2,ten,16,32
2,ten,16,27
2,ten,16,32
2,ten,16,33
2,ten,16,34
2,ten,16,31
2,ten,16,35
2,ten,16,34
2,ten,16,33
2,ten,16,33
2,ten,16,31
2,ten,16,28
2,ten,16,30
2,ten,16,28
2,ten,16,34
2,ten,16,28
2,ten,16,33
2,ten,16,33
2,ten,16,30
2,ten,16,36
2,ten,16,36
2,ten,16,32
2,ten,16,34
2,ten,16,34
2,ten,16,29
2,ten,16,29
2,ten,16,35
2,ten,16,35
2,ten,16,31
2,ten,16,29
2,ten,16,29
2,ten,16,32
2,ten,16,31
2,ten,16,35
2,ten,16,33
2,ten,16,28
2,ten,16,34
2,ten,16,33
2,ten,16,33
2,ten,16,32
2,ten,16,34
2,ten,16,26
2,ten,16,36
2,ten,16,30
2,ten,16,29
2,ten,16,33
2,ten,16,29
2,ten,16,30
2,ten,16,32
2,ten,16,38
2,ten,16,28
2,ten,16,31
2,ten,16,33
2,ten,16,25
2,ten,16,32
2,ten,16,32
2,ten,16,31
2,ten,16,31
2,ten,16,32
2,ten,16,33
2,ten,16,28
2,ten,16,31
2,ten,16,36
2,ten,16,31
2,ten,16,27
2,ten,16,25
2,ten,16,32
2,ten,16,30
2,ten,16,35
2,ten,16,33
2,ten,16,31
2,ten,16,32
2,ten,16,35
2,ten,16,33
2,ten,16,35
2,ten,16,29
2,ten,16,25
2,ten,16,24
2,ten,16,32
2,ten,16,27
2,ten,16,33
2,ten,16,30
2,ten,16,27
2,ten,16,29
2,ten,16,27
2,ten,16,33
2,ten,16,27
2,ten,16,32
2,ten,16,32
2,ten,16,30
2,ten,16,31
2,ten,16,37
2,ten,16,33
2,ten,16,33
2,ten,16,32
2,ten,32,35
2,ten,32,34
2,ten,32,41
2,ten,32,36
2,ten,32,40
2,ten,32,36
2,ten,32,33
2,ten,32,32
2,ten,32,37
2,ten,32,34
2,ten,32,37
2,ten,32,33
2,ten,32,38
2,ten,32,34
2,ten,32,34
2,ten,32,35
2,ten,32,37
2,ten,32,37
2,ten,32,40
2,ten,32,34
2,ten,32,38
2,ten,32,38
2,ten,32,36
2,ten,32,36
2,ten,32,30
2,ten,32,39
2,ten,32,37
2,ten,32,39
2,ten,32,39
2,ten,32,38
2,ten,32,35
2,ten,32,35
2,ten,32,39
2,ten,32,37
2,ten,32,34
2,ten,32,33
2,ten,32,42
2,ten,32,39
2,ten,32,39
2,ten,32,37
2,ten,32,34
2,ten,32,37
2,ten,32,34
2,ten,32,39
2,ten,32,42
2,ten,32,34
2,ten,32,35
2,ten,32,40
2,ten,32,32
2,ten,32,35
2,ten,32,39
2,ten,32,39
2,ten,32,38
2,ten,32,40
2,ten,32,39
2,ten,32,39
2,ten,32,38
2,ten,32,36
2,ten,32,38
2,ten,32,39
2,ten,32,33
2,ten,32,39
2,ten,32,39
2,ten,32,35
2,ten,32,37
2,ten,32,41
2,ten,32,37
2,ten,32,34
2,ten,32,34
2,ten,32,37
2,ten,32,35
2,ten,32,37
2,ten,32,38
2,ten,32,37
2,ten,32,36
2,ten,32,35
2,ten,32,35
2,ten,32,39
2,ten,32,36
2,ten,32,41
2,ten,32,38
2,ten,32,38
2,ten,32,38
2,ten,32,31
2,ten,32,32
2,ten,32,38
2,ten,32,39
2,ten,32,42
2,ten,32,34
2,ten,32,34
2,ten,32,34
2,ten,32,36
2,ten,32,39
2,ten,32,38
2,ten,32,38
2,ten,32,35
2,ten,32,38
2,ten,32,37
2,ten,32,39
2,ten,32,32
2,ten,64,49
2,ten,64,43
2,ten,64,44
2,ten,64,41
2,ten,64,43
2,ten,64,38
2,ten,64,46
2,ten,64,42
2,ten,64,45
2,ten,64,44
2,ten,64,43
2,ten,64,45
2,ten,64,46
2,ten,64,44
2,ten,64,46
2,ten,64,41
2,ten,64,44
2,ten,64,45
2,ten,64,40
